Vardas                           Pavarde                         1nd  2nd  3nd  4nd  5nd egz.
Vardas1                          Pavarde1                         1    5    10   3    1    1    
Vardas2                          Pavarde2                         5    3    2    6    4    4    
Vardas3                          Pavarde3                         10   2    8    2    4    9    
Vardas4                          Pavarde4                         10   10   5    3    5    10   
Vardas5                          Pavarde5                         5    5    2    2    10   9    
Vardas6                          Pavarde6                         9    9    10   8    4    4    
Vardas7                          Pavarde7                         8    4    8    5    4    2    
Vardas8                          Pavarde8                         9    6    1    8    2    1    
Vardas9                          Pavarde9                         2    9    2    3    5    7    
Vardas10                         Pavarde10                        8    8    5    2    9    4    
Vardas11                         Pavarde11                        9    8    2    2    10   10   
Vardas12                         Pavarde12                        10   6    3    3    3    9    
Vardas13                         Pavarde13                        4    8    5    10   5    5    
Vardas14                         Pavarde14                        8    6    10   5    3    7    
Vardas15                         Pavarde15                        10   9    2    2    8    7    
Vardas16                         Pavarde16                        6    6    2    7    6    2    
Vardas17                         Pavarde17                        7    5    3    6    6    5    
Vardas18                         Pavarde18                        4    10   5    9    7    4    
Vardas19                         Pavarde19                        9    1    9    5    5    7    
Vardas20                         Pavarde20                        9    6    10   3    5    1    
Vardas21                         Pavarde21                        2    1    6    2    8    3    
Vardas22                         Pavarde22                        6    5    2    1    10   9    
Vardas23                         Pavarde23                        2    6    6    3    7    10   
Vardas24                         Pavarde24                        5    10   8    2    4    8    
Vardas25                         Pavarde25                        5    4    2    3    7    1    
Vardas26                         Pavarde26                        8    3    10   3    4    3    
Vardas27                         Pavarde27                        10   6    10   10   6    4    
Vardas28                         Pavarde28                        7    5    8    6    1    6    
Vardas29                         Pavarde29                        10   2    1    4    3    2    
Vardas30                         Pavarde30                        10   9    3    9    1    5    
Vardas31                         Pavarde31                        10   6    5    6    4    1    
Vardas32                         Pavarde32                        7    5    2    4    9    7    
Vardas33                         Pavarde33                        7    7    3    1    4    5    
Vardas34                         Pavarde34                        6    7    6    10   6    9    
Vardas35                         Pavarde35                        6    2    3    3    1    5    
Vardas36                         Pavarde36                        9    7    5    7    9    6    
Vardas37                         Pavarde37                        6    3    8    5    2    8    
Vardas38                         Pavarde38                        9    10   8    8    7    3    
Vardas39                         Pavarde39                        1    10   7    3    7    9    
Vardas40                         Pavarde40                        4    10   3    3    4    5    
Vardas41                         Pavarde41                        1    9    8    2    5    10   
Vardas42                         Pavarde42                        1    10   7    3    5    6    
Vardas43                         Pavarde43                        10   3    8    6    4    7    
Vardas44                         Pavarde44                        5    9    3    6    6    6    
Vardas45                         Pavarde45                        2    9    5    5    4    8    
Vardas46                         Pavarde46                        9    8    8    6    10   3    
Vardas47                         Pavarde47                        3    10   1    1    3    8    
Vardas48                         Pavarde48                        1    3    5    1    4    3    
Vardas49                         Pavarde49                        5    10   2    5    4    5    
Vardas50                         Pavarde50                        8    3    5    5    6    5    
Vardas51                         Pavarde51                        2    9    7    10   1    10   
Vardas52                         Pavarde52                        10   7    2    1    9    8    
Vardas53                         Pavarde53                        10   2    5    7    5    10   
Vardas54                         Pavarde54                        7    3    9    1    8    8    
Vardas55                         Pavarde55                        8    6    8    8    2    5    
Vardas56                         Pavarde56                        1    9    10   5    8    6    
Vardas57                         Pavarde57                        1    9    6    8    8    9    
Vardas58                         Pavarde58                        5    3    6    2    1    1    
Vardas59                         Pavarde59                        10   8    3    4    4    1    
